"","pd","r"
"1","0.0416327074635774","a"
"2","0.0156504190759733","a"
"3","0.0447337417397648","a"
"4","0.0367650190717541","a"
"5","0.00670100941788405","a"
"6","0.0178545400849544","a"
"7","0.0433523826301098","a"
"8","0.00670306547544897","a"
"9","0.0213757276185788","a"
"10","0.00278977757552639","a"
"11","0.0430917112040334","a"
"12","0.00510011435253546","a"
"13","0.00140170465456322","a"
"14","0.0209785318584181","a"
"15","0.0416521629318595","a"
"16","0.0426342626218684","a"
"17","0.0195613451418467","a"
"18","0.0360462577547878","a"
"19","0.000109788589179516","a"
"20","0.0308471038471907","a"
"21","0.0475198025582358","a"
"22","0.0307051503448747","a"
"23","0.00980633666040376","a"
"24","0.0275915273465216","a"
"25","0.033847304712981","a"
"26","0.0354670248925686","a"
"27","0.014364431228023","a"
"28","0.0315762102371082","a"
"29","0.00383107473608106","a"
"30","0.00353310873033479","a"
"31","0.0242996638524346","a"
"32","0.0068875391734764","a"
"33","0.0356733051128686","a"
"34","0.0355808337801136","a"
"35","0.0474861050024629","a"
"36","0.021098347788211","a"
"37","0.0402729353518225","a"
"38","0.0182056714780629","a"
"39","0.03004176345421","a"
"40","0.0355397907318547","a"
"41","0.00280356054427102","a"
"42","0.00058235403848812","a"
"43","0.00358327758731321","a"
"44","0.00465025438461453","a"
"45","0.0129806584096514","a"
"46","0.0393302485463209","a"
"47","0.0369392468128353","a"
"48","0.0321190417162143","a"
"49","0.0404527187230997","a"
"50","0.0280411909450777","a"
"51","0.0101137246121652","a"
"52","0.0487472647451796","a"
"53","0.0327036630129442","a"
"54","0.0159748708363622","a"
"55","0.048687325778883","a"
"56","0.00590799605706707","a"
"57","0.00736480113118887","a"
"58","0.045190881867893","a"
"59","0.00823292228160426","a"
"60","0.0230095963343047","a"
"61","0.0317858069436625","a"
"62","0.00748913089046255","a"
"63","0.020631613524165","a"
"64","0.0250290505820885","a"
"65","0.00124937340151519","a"
"66","0.0264294149819762","a"
"67","0.00523664451902732","a"
"68","0.0083441173308529","a"
"69","0.0187327593797818","a"
"70","0.0185561014339328","a"
"71","0.0424098910298198","a"
"72","0.0379055297467858","a"
"73","0.00357887109275907","a"
"74","0.0220456369337626","a"
"75","0.0429126336006448","a"
"76","0.0347386904060841","a"
"77","0.00711613693274558","a"
"78","0.034639215900097","a"
"79","0.0269229556666687","a"
"80","0.0197439648793079","a"
"81","0.0240867135231383","a"
"82","0.0248433921835385","a"
"83","0.0432139965938404","a"
"84","0.00901234900811687","a"
"85","0.0226009450852871","a"
"86","0.0351979656959884","a"
"87","0.0161177175934426","a"
"88","0.0244232715922408","a"
"89","0.0395867404178716","a"
"90","0.0391606291057542","a"
"91","0.0177534940652549","a"
"92","0.0442316580680199","a"
"93","0.0463744209264405","a"
"94","0.0237503174575977","a"
"95","0.0109523668535985","a"
"96","0.0093184262746945","a"
"97","0.0222894067992456","a"
"98","0.00608104758430272","a"
"99","0.046249811805319","a"
"100","0.00452609552303329","a"
"101","0.0646059584221803","b"
"102","0.0702071532839909","b"
"103","0.0621747908764519","b"
"104","0.094286153302528","b"
"105","0.0700379239628092","b"
"106","0.0975935832597315","b"
"107","0.0799570317612961","b"
"108","0.0520422781002708","b"
"109","0.0924258722923696","b"
"110","0.0783075837534852","b"
"111","0.0588921816670336","b"
"112","0.0631500366842374","b"
"113","0.0649550066445954","b"
"114","0.0874425389338285","b"
"115","0.0545773182762787","b"
"116","0.0921783789293841","b"
"117","0.0920919895172119","b"
"118","0.0647832040209323","b"
"119","0.0746660611475818","b"
"120","0.0521299563697539","b"
"121","0.0537027083220892","b"
"122","0.0936014805454761","b"
"123","0.054959549207706","b"
"124","0.0529443341307342","b"
"125","0.052826260891743","b"
"126","0.0750159400398843","b"
"127","0.0766767581459135","b"
"128","0.0698374427389354","b"
"129","0.0659971509128809","b"
"130","0.0936354957288131","b"
"131","0.08758970501367","b"
"132","0.0655275865574367","b"
"133","0.0974551768042147","b"
"134","0.0816863485029899","b"
"135","0.0717986775096506","b"
"136","0.0748676107032225","b"
"137","0.085951791529078","b"
"138","0.0747377105522901","b"
"139","0.0738181589986198","b"
"140","0.0580269264173694","b"
"141","0.0864066116977483","b"
"142","0.0836279702722095","b"
"143","0.0891401788103394","b"
"144","0.0923277223831974","b"
"145","0.0773986332234927","b"
"146","0.0514749242342077","b"
"147","0.0839935178286396","b"
"148","0.0511291716014966","b"
"149","0.0773362991050817","b"
"150","0.0790383931715041","b"
"151","0.0631502820877358","b"
"152","0.0572890447219834","b"
"153","0.0824347897665575","b"
"154","0.0799212917801924","b"
"155","0.0686260691960342","b"
"156","0.0968777887756005","b"
"157","0.0865165123017505","b"
"158","0.0995723894098774","b"
"159","0.0835180892958306","b"
"160","0.088742197281681","b"
"161","0.0656321991351433","b"
"162","0.0692798860487528","b"
"163","0.0962003745604307","b"
"164","0.0719728581607342","b"
"165","0.0534694518544711","b"
"166","0.0866936791106127","b"
"167","0.0681498627876863","b"
"168","0.0635674358112738","b"
"169","0.0534551726304926","b"
"170","0.0843013545963913","b"
"171","0.0937281600898132","b"
"172","0.0800802550045773","b"
"173","0.0964003670727834","b"
"174","0.0549050206318498","b"
"175","0.0828393967356533","b"
"176","0.0508320335880853","b"
"177","0.08407410280779","b"
"178","0.058376994880382","b"
"179","0.0533099822117947","b"
"180","0.0881887844996527","b"
"181","0.0898854795843363","b"
"182","0.0905413396540098","b"
"183","0.0650326700648293","b"
"184","0.0962874587276019","b"
"185","0.0641355214407668","b"
"186","0.0538506554556079","b"
"187","0.0793149658711627","b"
"188","0.0514986599329859","b"
"189","0.0905385351274163","b"
"190","0.0918571412097663","b"
"191","0.0930388485896401","b"
"192","0.0806019708281383","b"
"193","0.0591268377262168","b"
"194","0.0711766989901662","b"
"195","0.0714748795493506","b"
"196","0.0957705784938298","b"
"197","0.0556612709420733","b"
"198","0.0796828447724693","b"
"199","0.0527045416412875","b"
"200","0.0596446151495911","b"
"201","0.131526561174542","c"
"202","0.162347204657272","c"
"203","0.10358903077431","c"
"204","0.18596623938065","c"
"205","0.127042277809232","c"
"206","0.115506810531951","c"
"207","0.13010180813726","c"
"208","0.168664296274073","c"
"209","0.168357397196814","c"
"210","0.168121559545398","c"
"211","0.196844645380043","c"
"212","0.166238281619735","c"
"213","0.165267554763705","c"
"214","0.129584683291614","c"
"215","0.145978692336939","c"
"216","0.170152429211885","c"
"217","0.163259967253543","c"
"218","0.133346200338565","c"
"219","0.180780985555612","c"
"220","0.124080974981189","c"
"221","0.1911438197596","c"
"222","0.178975140443072","c"
"223","0.128733941214159","c"
"224","0.137005381868221","c"
"225","0.146145631046966","c"
"226","0.152590219234116","c"
"227","0.168788317637518","c"
"228","0.101236419379711","c"
"229","0.154336102725938","c"
"230","0.102401052159257","c"
"231","0.198230128642172","c"
"232","0.168769975635223","c"
"233","0.125787959946319","c"
"234","0.103072102367878","c"
"235","0.11500007675495","c"
"236","0.166858475073241","c"
"237","0.127979324688204","c"
"238","0.171927546244115","c"
"239","0.162375851790421","c"
"240","0.117976253200322","c"
"241","0.134149954817258","c"
"242","0.183671110263094","c"
"243","0.195755193941295","c"
"244","0.101520619681105","c"
"245","0.165918732015416","c"
"246","0.196269200230017","c"
"247","0.15884936444927","c"
"248","0.156788060907274","c"
"249","0.108413030765951","c"
"250","0.192143131280318","c"
"251","0.199030438205227","c"
"252","0.132399428379722","c"
"253","0.108243683399633","c"
"254","0.158641807548702","c"
"255","0.12731826081872","c"
"256","0.151424400415272","c"
"257","0.173977813008241","c"
"258","0.172714315913618","c"
"259","0.19841007492505","c"
"260","0.156774347904138","c"
"261","0.117884071590379","c"
"262","0.136051624524407","c"
"263","0.126217990694568","c"
"264","0.101140229962766","c"
"265","0.199266579258256","c"
"266","0.127544701634906","c"
"267","0.101085554086603","c"
"268","0.12423120175954","c"
"269","0.182475239946507","c"
"270","0.108411129005253","c"
"271","0.14085238839034","c"
"272","0.151087334915064","c"
"273","0.168264616210945","c"
"274","0.192776918597519","c"
"275","0.18854060776066","c"
"276","0.110908851120621","c"
"277","0.134819629834965","c"
"278","0.188996244547889","c"
"279","0.15353425340727","c"
"280","0.198445686162449","c"
"281","0.129022273235023","c"
"282","0.195695322938263","c"
"283","0.123068633442745","c"
"284","0.158044800325297","c"
"285","0.154445717460476","c"
"286","0.135618378664367","c"
"287","0.122520148614421","c"
"288","0.179154334473424","c"
"289","0.181184910563752","c"
"290","0.113864864059724","c"
"291","0.101359074888751","c"
"292","0.148806702252477","c"
"293","0.188317574583925","c"
"294","0.127404517284594","c"
"295","0.141034617042169","c"
"296","0.159266162011772","c"
"297","0.176149077806622","c"
"298","0.141867830045521","c"
"299","0.180378673458472","c"
"300","0.135023768874817","c"
"301","0.291178045095876","d"
"302","0.251615512580611","d"
"303","0.235736211226322","d"
"304","0.212214672705159","d"
"305","0.254152398603037","d"
"306","0.291131996177137","d"
"307","0.241061961255036","d"
"308","0.204905500984751","d"
"309","0.212782424734905","d"
"310","0.219838822889142","d"
"311","0.29947139848955","d"
"312","0.28999719931744","d"
"313","0.258355599921197","d"
"314","0.275267010042444","d"
"315","0.27437966146972","d"
"316","0.244061559392139","d"
"317","0.258688569394872","d"
"318","0.280658529233187","d"
"319","0.294883678527549","d"
"320","0.299377827206627","d"
"321","0.208016071282327","d"
"322","0.275471715070307","d"
"323","0.253046334302053","d"
"324","0.219744676095434","d"
"325","0.20938455935102","d"
"326","0.202492724987678","d"
"327","0.273153032059781","d"
"328","0.240428130561486","d"
"329","0.268157768598758","d"
"330","0.279341633943841","d"
"331","0.229686756199226","d"
"332","0.261299207690172","d"
"333","0.231115608057007","d"
"334","0.279266276024282","d"
"335","0.203441261546686","d"
"336","0.291139170061797","d"
"337","0.237662956211716","d"
"338","0.230585003644228","d"
"339","0.274077123263851","d"
"340","0.211358537268825","d"
"341","0.260864840727299","d"
"342","0.282383729657158","d"
"343","0.213918874901719","d"
"344","0.267187527054921","d"
"345","0.240735064982437","d"
"346","0.298519284278154","d"
"347","0.25475396013353","d"
"348","0.272399895871058","d"
"349","0.255185915483162","d"
"350","0.29135511838831","d"
"351","0.215545886429027","d"
"352","0.294659973145463","d"
"353","0.281947263539769","d"
"354","0.257218093681149","d"
"355","0.219493722263724","d"
"356","0.223174477298744","d"
"357","0.212923055049032","d"
"358","0.207309056981467","d"
"359","0.284901362308301","d"
"360","0.235540093691088","d"
"361","0.20250385501422","d"
"362","0.252176812454127","d"
"363","0.223380074137822","d"
"364","0.223557077534497","d"
"365","0.209514897270128","d"
"366","0.240071893902496","d"
"367","0.244462289987132","d"
"368","0.277136980020441","d"
"369","0.266977158817463","d"
"370","0.234838832914829","d"
"371","0.297495967592113","d"
"372","0.266068346542306","d"
"373","0.262996003776789","d"
"374","0.211122685135342","d"
"375","0.213795265811495","d"
"376","0.227289305836894","d"
"377","0.207732243649662","d"
"378","0.207032661885023","d"
"379","0.279254055325873","d"
"380","0.292524331179447","d"
"381","0.273190984362736","d"
"382","0.224679593811743","d"
"383","0.29886993826367","d"
"384","0.277304446208291","d"
"385","0.21760702917818","d"
"386","0.294315825682133","d"
"387","0.29242875019554","d"
"388","0.235375000187196","d"
"389","0.244047051179223","d"
"390","0.255784216220491","d"
"391","0.248559790919535","d"
"392","0.257285053119995","d"
"393","0.237025414570235","d"
"394","0.24719209538307","d"
"395","0.209458831348456","d"
"396","0.248592325206846","d"
"397","0.203560485620983","d"
"398","0.260035539232194","d"
"399","0.208438061643392","d"
"400","0.26257649322506","d"
"401","0.327939523314126","e"
"402","0.58450262832921","e"
"403","0.97808919264935","e"
"404","0.440867518610321","e"
"405","0.994073972292244","e"
"406","0.896787656564265","e"
"407","0.475104981078766","e"
"408","0.604102897690609","e"
"409","0.372574937320314","e"
"410","0.327800450101495","e"
"411","0.713386006467044","e"
"412","0.980167470662854","e"
"413","0.627077563526109","e"
"414","0.59215473618824","e"
"415","0.860059472452849","e"
"416","0.417343024583533","e"
"417","0.628881220566109","e"
"418","0.927371499314904","e"
"419","0.927246522856876","e"
"420","0.610411656042561","e"
"421","0.554792120540515","e"
"422","0.341343191475607","e"
"423","0.769889568188228","e"
"424","0.619845360750332","e"
"425","0.611914077401161","e"
"426","0.385638045473024","e"
"427","0.442995179351419","e"
"428","0.513609223114327","e"
"429","0.808694516704418","e"
"430","0.849027473200113","e"
"431","0.428061986831017","e"
"432","0.888213444477878","e"
"433","0.929078218573704","e"
"434","0.549557542288676","e"
"435","0.373091212357394","e"
"436","0.309720897255465","e"
"437","0.754881225083955","e"
"438","0.405856785108335","e"
"439","0.590322381211445","e"
"440","0.877881259541027","e"
"441","0.774283224577084","e"
"442","0.4022247123532","e"
"443","0.377178982715122","e"
"444","0.55050998844672","e"
"445","0.35650731518399","e"
"446","0.840154114854522","e"
"447","0.671734996652231","e"
"448","0.533245709724724","e"
"449","0.59913025230635","e"
"450","0.520947902975604","e"
"451","0.862030227528885","e"
"452","0.563289892859757","e"
"453","0.638064043037593","e"
"454","0.795810895459726","e"
"455","0.807778521673754","e"
"456","0.324150343285873","e"
"457","0.339187328913249","e"
"458","0.594848474860191","e"
"459","0.305600481550209","e"
"460","0.897465905500576","e"
"461","0.784028035774827","e"
"462","0.917402209853753","e"
"463","0.92919253425207","e"
"464","0.733448499371298","e"
"465","0.872134344372898","e"
"466","0.885235946788453","e"
"467","0.665746506629512","e"
"468","0.780402457667515","e"
"469","0.459385520406067","e"
"470","0.853836161689833","e"
"471","0.311752487765625","e"
"472","0.980578157026321","e"
"473","0.425577639066614","e"
"474","0.486168357357383","e"
"475","0.407426489936188","e"
"476","0.349347629374824","e"
"477","0.473551429179497","e"
"478","0.942059173155576","e"
"479","0.488094209739938","e"
"480","0.466254209191538","e"
"481","0.832797660236247","e"
"482","0.52777041438967","e"
"483","0.668321729102172","e"
"484","0.760836669313721","e"
"485","0.525593338161707","e"
"486","0.781929817795753","e"
"487","0.807588630518876","e"
"488","0.547513798577711","e"
"489","0.885336612444371","e"
"490","0.35642669738736","e"
"491","0.630530478432775","e"
"492","0.747144918562844","e"
"493","0.486879116040654","e"
"494","0.941840752749704","e"
"495","0.847356130043045","e"
"496","0.350032662739977","e"
"497","0.906253799633123","e"
"498","0.628336219396442","e"
"499","0.728685719822533","e"
"500","0.390884900465608","e"
